MomLeg1[1],MomLeg2[1],ATRLeg1[1],ATRLeg2[1],Correlation,Duration,Type,MAE_leg1,MFE_leg1,Profit_leg1,MAE_leg2,MFE_leg2,Profit_leg2,Total_MAE,Total_MFE,Total_Profit,Profit
17.67786323,59.18375359,0.002482,0.0026815,0.116004594,118800,0,-187.52,44.26,-99.12,-130.96,57.85,-2.95,-172.27,11.46,-102.07,0
73.12868528,37.6088716,0.0026045,0.002363,-0.231241165,79200,1,-149.09,47.25,-9.49,-40.11,42.75,-8.47,-142.19,49.37,-17.96,0
45.42950486,81.76079412,0.0022935,0.0027735,-0.058191642,46800,0,-48.53,145.42,155.59,-184.96,26.27,-157.3,-57.53,13.97,-1.71,0
79.95502878,44.14049157,0.002618,0.0031595,-0.503256797,36000,1,-115.96,0,-25.6,-26.08,174.36,67.68,-45.46,68.09,42.08,1
31.27227478,76.03860867,0.0023775,0.002414,-0.23455885,28800,0,-15.6,43.68,152.02,-34.59,2.82,1.81,-32.7,37.44,153.83,1
43.83704356,81.15253883,0.00276,0.0026035,0.620647564,97200,0,-206.81,51.67,-104.18,-40.13,76.72,23.54,-153.85,82.38,-80.64,0
67.24475047,22.68322437,0.0020195,0.002042,-0.122418681,21600,1,-8.46,36.3,60.4,-63.48,0,-20.86,-42.76,22.94,39.54,1
25.64431299,71.83205926,0.0024135,0.0023035,-0.277995097,198000,0,-64.94,187.67,159.57,-96.01,0,-185.97,-110.94,91.66,-26.4,0
22.71371948,58.45355682,0.002076,0.0020845,0.611908484,122400,0,-287.63,42.3,-240.71,-57.39,145.01,137.49,-142.82,47.65,-103.22,0
15.42511965,57.92073223,0.0024565,0.0020355,0.707506974,248400,0,-166.54,0,-121.04,-40.6,206.56,207.53,-133.02,78.23,86.49,1
23.30732917,60.82032449,0.0019925,0.0018455,-0.326357077,10800,0,-45.16,0,-17.95,-12.09,61.52,15.1,-26.23,16.36,-2.85,0
65.65451296,23.72576448,0.001854,0.002437,0.104975196,39600,1,-44.84,19.17,53.27,-11.08,66.66,53.01,-25.82,51.82,106.28,1
42.03370051,83.45849383,0.002324,0.0022835,0.637203495,129600,0,-130.68,48.17,-67.18,-114.89,27.2,-75.35,-218.71,22.68,-142.53,0
33.82779356,70.8488583,0.002655,0.002623,-0.14689443,136800,0,-17.34,137.21,98.41,-314.04,0,-268.23,-233.93,0,-169.82,0
64.00020366,25.80186686,0.002105,0.00237,-0.701500597,32400,1,-119.3,0,-100.95,-13.11,192.96,178.74,-71.71,78.89,77.79,1
37.13220318,78.37162228,0.003714,0.002474,0.798176552,14400,0,-169.4,0,-176.61,-17.07,337.72,365.83,-25.82,168.32,189.22,1
58.77590872,18.50957486,0.0020185,0.0022335,-0.026717034,75600,1,-309,24.48,-208.75,-101.42,40.49,19.06,-338.07,0,-189.69,0
41.03967043,80.14735397,0.0019955,0.002262,0.790763732,82800,0,-203.96,0,-20.64,-93.1,135.25,-133.96,-184.65,0,-154.6,0
85.45957234,47.0168721,0.001993,0.002198,0.36856381,64800,1,-112.83,0,63.01,-150.12,30.73,-69.39,-237.45,0,-6.38,0
39.08606719,85.99232329,0.002784,0.002853,0.126591666,25200,0,-8.82,74.95,45.48,-62.65,62.66,27.53,-18.61,87.37,73.01,1
74.75247922,39.4544021,0.002095,0.0026085,-0.592257471,28800,1,-51.62,16.58,-17.73,-20.36,79.33,37,-40.21,38.09,19.27,1
30.3402279,68.48433813,0.001707,0.0018585,0.088047377,10800,0,-9.59,28.53,45.21,-19.55,10.49,54.83,-18.23,16.1,100.04,1
28.15352767,64.55062356,0.001987,0.002236,0.226087987,226800,0,-86.69,101.78,84.74,-152.14,31.47,-55.68,-86.14,5.36,29.06,1
61.1065028,15.58407753,0.0022045,0.0018625,0.925091493,3600,1,-8.79,0,-20.61,-12.43,0,-76.19,-21.22,0,-96.8,0
74.66556607,36.70642422,0.0022625,0.0027665,0.419525729,259200,1,-124.92,57.02,82.82,-255.12,22.94,-236.81,-291.61,0,-153.99,0
32.51047578,74.99211905,0.0022505,0.002691,-0.439903422,208800,0,-73.68,71.6,50.76,-66.29,1.05,-82.48,-113.6,72.65,-31.72,0
18.32495034,63.83635446,0.002357,0.0020705,-0.336684911,126000,0,-452.48,0,-436.41,-51.42,356.63,350.09,-218.75,17.15,-86.32,0
59.46450881,20.94823766,0.00301,0.0026105,-0.681856158,97200,1,-583.49,0,-566.39,-13.46,379.82,350.17,-337.71,21.79,-216.22,0
22.66199857,69.87480748,0.0024935,0.002334,-0.587998857,25200,0,-8.47,125.12,65.76,-49.2,9.65,10.07,-17.69,75.92,75.83,1
20.05221515,71.27306865,0.002881,0.0019315,-0.4474184,230400,0,-11.38,165.58,108.78,-247.84,0,-106.42,-107.94,80.51,2.36,1
54.76612804,17.43085558,0.0030455,0.0035035,-0.20622744,108000,1,-402.63,0,-316.14,-27.52,179.91,58.52,-348.23,0,-257.62,0
50.58809372,13.47524953,0.002566,0.002786,-0.092643934,50400,1,-104.76,0,-66.97,-70.98,121.56,119.25,-99.17,17.36,52.28,1
37.38860476,80.32949371,0.0032095,0.0025505,-0.328674232,64800,0,-44.86,95.02,73.15,-98.78,99.61,-9.79,-26.3,67.09,63.36,1
33.8884658,71.32081131,0.0027055,0.0027405,-0.639625378,72000,0,-15.59,140.01,83.79,-112.09,57.78,18.59,-20.15,108.67,102.38,1
26.22194019,62.55278925,0.003046,0.0024655,-0.414593525,36000,0,-178.93,0,-94.9,-44.8,45.35,-38.08,-158.16,19.8,-132.98,0
42.39584274,78.7126064,0.003049,0.003383,0.811583891,36000,0,-80.04,51.42,87.52,-26.24,5.45,-15.92,-74.59,29.28,71.6,1
73.08944053,36.59449542,0.0024495,0.002979,-0.437674226,39600,1,-20.22,201.13,257.77,-183.51,0,-176.03,-51.71,58.73,81.74,1
31.08653813,70.82344038,0.002145,0.0025185,-0.04748056,244800,0,-65.59,32.63,-60.48,-121.17,44.23,42.79,-118.8,3.17,-17.69,0
64.88833571,27.45350733,0.00224,0.002251,0.086585303,68400,1,-9.76,88.29,39.1,-39.9,26.12,8.8,-36.09,68.8,47.9,1
18.92777424,57.11644703,0.0026925,0.0019865,-0.614227441,64800,0,-179.49,3.8,1.4,-61.58,66.95,-71.57,-210.91,47.59,-70.17,0
65.82723992,30.63573854,0.0020305,0.0019245,0.133626878,3600,1,-10.27,0,91.78,-9.4,0,-152.74,-19.67,0,-60.96,0
